Gruppe,Mausnr,s1,s2,s3,speed in cm/s run 1,speed in cm/s run 2,speed in cm/s run 3,t1,t2,t3,in cm Q1/Run1,Q1/Run2,Q1/Run3,in cm Q2/Run1,Q2/Run2,Q2/Run3,in cm Q3/Run1,Q3/Run2,Q3/Run3,in cm Q4/Run1,Q4/Run2,Q4/Run3,Q1/Run1 visits,Q1/Run2 visits,Q1/Run3 visits,Q2/Run1 visits,Q2/Run2 visits,Q2/Run3 visits,Q3/Run1 visits,Q3/Run2 visits,Q3/Run3 visits,Q4/Run1 visits,Q4/Run2 visits,Q4/Run3 visits,Q1/run1 Zeit total in %,Q1/Run2 Zeit total in %,Q1/Run3 Zeit total in %,Q2/Run1 Zeit total in %,Q2/Run2 Zeit total in %,Q2/Run3 Zeit total in %,Q3/Run1 Zeit total in %,Q3/Run2 Zeit total in %,Q3/Run3 Zeit total in %,Q4/Run1 Zeit total in %,Q4/Run2 Zeit total in %,Q4/Run3 Zeit total in %
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,79.95,97.46,925.09,17.89,17.97,16.43,00:04.47,00:05.42,00:56.31,0.00,0.00,507.18,0.00,45.14,159.02,55.44,25.67,64.83,24.51,26.65,194.06,0,0,8,0,1,4,1,1,1,1,1,5,0.00,0.00,55.66,0.00,40.34,17.54,67.49,25.08,6.74,32.51,34.58,20.06
1,4,336.87,131.81,159.63,18.60,20.88,19.38,00:18.11,00:06.31,00:08.24,100.61,74.29,23.05,79.46,29.49,53.80,96.08,0.00,49.75,60.72,28.03,33.03,2,1,1,2,1,1,3,0,1,3,1,1,34.77,56.94,13.09,24.67,16.33,29.98,24.42,0.00,31.12,16.14,26.73,25.80
1,5,1674.45,880.39,261.91,14.00,13.38,14.70,01:59.61,01:05.80,00:17.81,385.04,301.86,137.27,663.98,478.16,85.69,445.78,61.34,0.00,179.65,39.03,38.96,9,5,3,11,7,4,10,4,0,7,3,1,22.59,34.91,50.96,39.84,53.53,30.88,27.20,6.62,0.00,10.37,4.94,18.16
1,6,326.49,97.29,114.51,15.41,17.94,17.16,00:21.19,00:05.42,00:06.67,75.35,54.13,79.40,3.91,17.93,0.00,72.20,0.00,0.00,175.02,25.23,35.11,3,1,1,1,1,0,1,0,0,3,1,1,22.72,49.28,61.12,0.96,16.73,0.00,20.72,0.00,0.00,55.60,33.99,38.88
1,7,370.18,158.41,268.89,23.81,24.48,24.31,00:15.55,00:06.47,00:11.06,113.83,0.00,98.01,0.65,82.74,30.43,94.79,53.08,24.24,160.91,22.59,116.20,2,0,2,1,1,1,2,1,1,3,1,2,34.98,0.00,37.85,0.30,52.41,10.46,24.11,31.41,8.33,40.61,16.18,43.36
1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,81.19,803.87,338.84,22.40,18.03,19.86,00:03.63,00:44.59,00:17.06,0.00,197.33,295.13,0.00,71.54,0.00,43.38,369.06,0.00,37.80,165.94,43.71,0,3,3,0,4,0,1,8,0,1,8,3,0.00,26.52,85.53,0.00,7.68,0.00,42.68,45.09,0.00,57.32,20.71,14.47
1,10,316.20,440.59,140.54,17.74,19.61,20.72,00:17.83,00:22.47,00:06.78,57.24,55.25,44.75,59.61,202.95,4.78,151.44,121.46,53.73,47.92,60.93,37.28,1,1,2,1,3,1,2,3,1,2,2,2,19.10,12.31,23.51,20.16,47.56,2.30,44.35,27.61,44.70,16.39,12.52,29.49
1,11,258.88,85.45,66.03,19.40,27.21,29.56,00:13.34,00:03.14,00:02.23,64.65,0.00,47.47,49.25,39.10,0.00,93.08,25.46,0.00,51.89,20.89,18.56,2,0,1,2,1,0,2,1,0,2,1,1,21.90,0.00,65.76,19.32,40.31,0.00,38.88,27.86,0.00,19.90,31.84,34.24
1,12,377.99,113.03,64.90,23.19,28.37,31.94,00:16.30,00:03.98,00:02.03,55.18,52.20,45.75,138.31,36.02,0.00,128.69,0.00,0.00,55.81,24.81,19.15,2,1,1,3,1,0,3,0,0,2,1,1,15.72,43.15,66.93,35.86,31.75,0.00,33.27,0.00,0.00,15.15,25.10,33.07
2,13,135.70,264.24,110.00,18.68,16.24,17.64,00:07.27,00:16.27,00:06.23,0.00,0.00,23.41,32.90,74.37,25.52,74.98,158.11,38.17,27.82,31.76,22.90,0,0,1,1,1,1,2,1,1,1,1,1,0.00,0.00,17.04,25.81,24.21,22.55,53.11,61.00,34.60,21.08,14.79,25.81
2,14,1343.59,405.31,154.29,16.28,14.86,15.73,01:22.52,00:27.28,00:09.81,242.39,60.48,65.90,275.58,104.11,0.00,417.97,152.63,52.45,407.65,88.10,35.95,5,1,1,6,2,0,7,2,1,6,2,2,17.33,13.75,41.08,20.96,23.77,0.00,29.88,41.29,37.89,31.83,21.19,21.03
2,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,16,153.97,101.59,53.24,24.10,29.69,30.99,00:06.39,00:03.42,00:01.72,44.49,0.00,34.10,0.00,34.89,0.00,34.96,44.95,0.00,74.52,21.75,19.14,1,0,1,0,1,0,1,1,0,2,1,1,29.60,0.00,58.21,0.00,33.34,0.00,21.02,40.62,0.00,49.38,26.04,41.79
2,17,225.82,112.97,205.20,25.36,26.98,21.42,00:08.91,00:04.19,00:09.58,26.26,0.00,100.83,51.41,39.02,0.00,94.42,53.24,55.66,53.74,20.71,48.71,1,0,1,1,1,0,2,1,1,2,1,2,10.35,0.00,46.17,21.58,33.96,0.00,44.73,45.14,28.38,23.33,20.90,25.45
2,18,312.19,105.93,54.39,19.01,23.70,24.87,00:16.42,00:04.47,00:02.19,72.48,33.43,36.17,58.70,49.70,0.00,124.28,0.00,0.00,56.72,22.80,18.22,1,1,1,2,1,0,4,0,0,2,1,1,23.31,34.97,65.71,20.93,39.16,0.00,37.97,0.00,0.00,17.79,25.87,34.29
2,19,59.13,88.61,117.95,25.58,29.24,24.43,00:02.31,00:03.03,00:04.83,0.00,0.00,31.77,0.00,28.90,0.00,32.92,35.82,51.44,26.21,23.89,34.74,0,0,1,0,1,0,1,1,1,1,1,2,0.00,0.00,19.74,0.00,28.34,0.00,50.00,37.12,42.09,50.00,34.54,38.17
2,20,1709.99,,,14.27,,,01:59.81,,,405.12,,,403.00,,,469.57,,,432.29,,,6,,,5,,,6,,,6,,,23.17,,,24.19,,,27.84,,,24.79,,
2,21,165.01,129.82,65.65,20.23,18.71,21.99,00:08.16,00:06.94,00:02.99,56.62,25.42,45.63,0.00,36.65,0.00,51.78,9.33,0.00,56.62,58.41,20.02,1,1,1,0,1,0,2,1,0,3,2,1,33.91,16.68,68.07,0.00,21.16,0.00,29.88,11.04,0.00,36.21,51.12,31.93
2,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,23,168.07,247.63,125.37,25.55,22.23,16.41,00:06.58,00:11.14,00:07.64,41.00,126.71,45.32,4.38,81.39,9.21,52.15,0.00,2.94,70.54,39.53,67.90,2,2,1,1,2,1,1,0,1,2,1,1,23.99,52.74,26.18,2.61,25.81,8.38,33.26,0.00,2.04,40.13,21.45,63.40
2,24,,67.81,81.27,,15.61,18.38,,00:04.34,00:04.42,,0.00,56.78,,0.00,0.00,,42.91,0.00,,24.89,24.49,,0,1,,0,0,,1,0,,1,1,,0.00,65.72,,0.00,0.00,,58.63,0.00,,41.37,34.28
3,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,26,244.47,91.87,154.91,16.57,21.77,16.66,00:14.75,00:04.22,00:09.30,71.09,0.00,32.40,56.82,32.27,56.58,78.70,30.06,40.30,37.86,29.54,25.62,1,0,1,2,1,1,2,1,1,1,1,1,30.08,0.00,16.98,20.35,31.86,35.29,31.46,29.25,30.59,18.12,38.90,17.14
3,27,681.43,150.55,208.37,19.69,16.90,17.21,00:34.61,00:08.91,00:12.11,249.17,0.00,77.01,172.04,79.12,44.06,145.98,47.84,33.97,114.25,23.60,53.34,5,0,3,5,1,2,5,1,1,5,1,2,37.70,0.00,33.94,24.29,49.30,17.54,20.09,35.96,17.16,17.92,14.73,31.36
3,28,65.30,92.25,66.34,19.35,18.06,20.82,00:03.38,00:05.11,00:03.19,0.00,0.00,48.20,0.00,42.57,0.00,36.61,24.79,0.00,28.69,24.88,18.13,0,0,1,0,1,0,1,1,0,1,1,1,0.00,0.00,68.62,0.00,35.78,0.00,51.41,29.67,0.00,48.59,34.55,31.38
3,29,1517.04,184.39,325.14,16.59,13.72,12.33,01:31.42,00:13.44,00:26.36,304.30,41.78,126.42,486.95,98.71,31.86,417.06,19.54,141.61,308.72,24.36,25.25,6,2,2,8,3,3,10,1,2,8,1,1,19.18,24.42,38.35,32.61,51.40,11.50,27.57,11.62,43.27,20.65,12.55,6.88
3,30,171.91,91.20,115.40,22.64,33.74,22.58,00:07.59,00:02.70,00:05.11,41.09,0.00,44.74,38.76,44.35,0.00,42.69,19.97,0.00,49.36,26.88,70.66,2,0,1,2,1,0,2,1,0,2,1,1,24.27,0.00,28.75,19.98,45.06,0.00,25.72,19.09,0.00,30.04,35.85,71.25
3,31,286.74,222.64,361.29,18.06,21.05,18.34,00:15.88,00:10.58,00:19.70,46.50,53.17,169.52,94.08,103.25,41.34,121.55,43.54,59.88,24.61,22.68,90.55,1,1,2,1,2,1,1,1,2,1,1,3,16.34,28.81,38.70,33.27,39.59,14.03,40.26,16.54,18.24,10.14,15.06,29.03
3,32,83.39,114.60,89.29,29.49,24.53,24.42,00:02.83,00:04.67,00:03.66,0.00,54.69,50.49,13.79,28.34,0.00,45.20,0.00,0.00,24.40,31.57,38.80,0,1,1,1,1,0,2,0,0,1,1,1,0.00,47.15,43.16,14.36,19.39,0.00,50.28,0.00,0.00,35.36,33.45,56.84
3,33,97.29,110.99,141.74,21.25,20.01,21.91,00:04.58,00:05.55,00:06.47,16.79,58.03,76.67,0.00,23.02,0.00,40.07,0.00,0.00,40.43,29.94,65.07,1,1,2,0,1,0,1,0,0,2,1,2,18.11,52.41,50.47,0.00,14.93,0.00,27.63,0.00,0.00,54.26,32.67,49.53
3,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,35,96.24,87.11,66.32,16.73,18.70,22.22,00:05.75,00:04.66,00:02.99,0.00,0.00,44.27,0.00,46.50,0.00,74.88,7.98,0.00,21.36,32.63,22.04,0,0,1,0,2,0,1,2,0,1,1,1,0.00,0.00,62.31,0.00,51.02,0.00,76.35,7.71,0.00,23.65,41.27,37.69
3,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
