Gruppe,Mausnr,s1,s2,s3,speed in cm/s run 1,speed in cm/s run 2,speed in cm/s run 3,t1,t2,t3,in cm Q1/Run1,Q1/Run2,Q1/Run3,in cm Q2/Run1,Q2/Run2,Q2/Run3,in cm Q3/Run1,Q3/Run2,Q3/Run3,in cm Q4/Run1,Q4/Run2,Q4/Run3,Q1/Run1 visits,Q1/Run2 visits,Q1/Run3 visits,Q2/Run1 visits,Q2/Run2 visits,Q2/Run3 visits,Q3/Run1 visits,Q3/Run2 visits,Q3/Run3 visits,Q4/Run1 visits,Q4/Run2 visits,Q4/Run3 visits,Q1/run1 Zeit total in %,Q1/Run2 Zeit total in %,Q1/Run3 Zeit total in %,Q2/Run1 Zeit total in %,Q2/Run2 Zeit total in %,Q2/Run3 Zeit total in %,Q3/Run1 Zeit total in %,Q3/Run2 Zeit total in %,Q3/Run3 Zeit total in %,Q4/Run1 Zeit total in %,Q4/Run2 Zeit total in %,Q4/Run3 Zeit total in %
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,1575.68,1296.58,797.94,13.25,11.38,13.74,01:58.91,01:53.95,00:58.09,0.00,224.51,188.47,199.06,528.31,134.88,934.24,255.50,76.19,442.37,288.26,398.40,0,3,2,2,6,2,8,5,3,6,3,3,0.00,18.65,20.01,16.18,39.12,13.64,56.05,17.39,10.92,27.78,24.85,55.43
1,4,1222.42,1304.35,1397.90,11.70,10.89,11.72,01:44.44,01:59.83,01:59.31,171.18,326.97,274.54,668.94,613.08,637.61,255.52,175.50,361.44,126.77,188.80,124.32,5,7,6,6,6,14,4,2,11,3,3,3,16.40,26.60,15.45,50.36,41.65,51.34,19.81,14.25,27.13,13.43,17.50,6.08
1,5,1767.37,1218.29,753.00,14.77,10.16,6.29,01:59.67,01:59.88,01:59.78,249.78,0.00,78.34,460.75,749.29,314.02,669.97,318.36,360.65,386.88,150.64,0.00,4,0,1,10,6,3,8,5,2,6,1,0,14.81,0.00,6.94,16.29,61.46,43.20,44.39,24.90,49.86,24.51,13.65,0.00
1,6,908.16,871.64,704.00,7.59,7.30,5.87,01:59.71,01:59.42,01:59.86,104.56,90.33,131.74,431.96,340.21,465.81,288.28,303.14,60.34,83.36,137.96,46.11,3,2,3,4,6,4,4,5,2,1,2,1,15.04,7.90,10.25,57.96,47.20,79.34,19.36,31.70,5.71,7.65,13.20,4.71
1,7,1775.85,715.74,953.13,17.42,19.31,18.89,01:41.97,00:37.06,00:50.45,0.00,207.49,245.64,25.90,178.08,349.32,1142.65,94.04,305.51,607.30,236.12,52.67,0,3,5,1,5,8,12,5,6,11,4,3,0.00,27.95,22.49,1.29,22.13,34.90,62.66,13.32,33.04,36.06,36.59,9.57
1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,1965.82,218.88,1385.25,16.49,15.00,11.58,01:59.23,00:14.59,01:59.58,23.07,0.00,33.81,121.33,86.29,0.00,1031.45,104.32,669.42,789.96,28.27,682.02,1,0,1,2,1,0,16,1,7,12,1,8,0.97,0.00,1.25,5.54,38.01,0.00,51.92,44.75,42.70,41.57,17.24,56.04
1,10,1631.16,1282.11,904.87,13.63,10.70,7.55,01:59.67,01:59.78,01:59.88,245.41,81.16,313.83,786.80,794.30,106.80,350.77,406.64,116.59,248.18,0.00,367.65,4,2,5,10,11,4,9,8,2,3,0,2,22.67,6.51,45.18,35.75,52.73,10.87,22.47,40.76,9.84,19.12,0.00,34.11
1,11,1886.14,267.58,466.14,16.12,16.61,20.13,01:57.03,00:16.11,00:23.16,375.88,0.00,346.84,303.84,115.92,32.68,684.37,70.23,0.00,522.05,81.43,86.61,4,0,3,5,1,1,7,1,0,6,1,2,21.05,0.00,74.02,17.64,36.95,5.40,35.70,26.58,0.00,25.61,36.47,20.58
1,12,2123.28,1650.29,461.60,17.72,13.76,21.52,01:59.83,01:59.89,00:21.45,621.08,560.94,140.91,920.50,342.01,137.20,421.20,276.74,117.29,160.50,470.59,66.20,8,4,3,10,4,3,7,4,3,5,4,3,26.22,27.13,30.16,42.29,14.21,28.62,23.68,23.30,24.76,7.81,35.36,16.46
2,13,1464.91,1256.83,1053.69,12.24,10.48,11.16,01:59.64,01:59.89,01:34.45,0.00,0.00,152.69,637.59,146.52,557.91,799.89,1110.31,318.17,27.43,0.00,24.92,0,0,1,7,3,5,9,4,5,1,0,1,0.00,0.00,12.75,42.71,9.68,52.01,55.73,90.32,32.14,1.57,0.00,3.09
2,14,1524.56,,,12.78,,,01:59.31,,,283.88,,,202.93,,,856.35,,,181.40,,,5,,,3,,,3,,,4,,,19.71,,,13.71,,,51.99,,,14.59,,
2,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,16,,1642.43,984.53,,13.72,12.95,,01:59.73,01:16.02,,329.43,558.99,,655.29,134.68,,399.73,119.08,,257.98,171.78,,6,5,,6,3,,5,1,,5,3,,20.80,54.90,,36.49,14.33,,28.80,11.88,,13.91,18.89
2,17,824.60,678.61,1755.07,18.59,19.18,14.65,00:44.36,00:35.37,01:59.77,169.41,0.00,307.90,159.83,283.13,480.09,314.06,254.96,584.46,181.30,140.52,382.61,2,0,5,3,4,8,3,5,10,2,2,7,22.05,0.00,16.36,17.96,39.62,30.33,37.80,37.99,31.65,22.19,22.39,21.66
2,18,1903.47,1539.87,225.24,15.89,12.88,14.26,01:59.80,01:59.51,00:15.80,681.20,194.47,158.17,452.07,1003.05,0.00,588.79,281.28,0.00,181.41,61.07,67.08,7,2,1,8,11,0,5,9,0,3,1,1,36.98,11.28,64.30,23.59,69.15,0.00,29.75,16.05,0.00,9.68,3.52,35.70
2,19,1719.00,215.21,1944.90,14.35,17.05,16.24,01:59.76,00:12.63,01:59.73,239.79,0.00,345.80,390.42,97.17,452.93,1013.02,67.81,924.90,75.77,50.22,221.27,1,0,4,8,1,9,9,1,10,1,1,4,13.06,0.00,16.59,23.13,45.17,26.37,57.06,27.23,48.18,6.74,27.60,8.86
2,20,1397.04,1655.99,1629.08,11.67,13.82,13.60,01:59.70,01:59.84,01:59.81,326.15,545.14,301.74,480.63,647.34,284.87,476.96,331.63,925.61,113.30,131.88,116.86,6,4,3,12,7,5,9,5,7,3,3,5,22.79,34.15,18.36,34.42,38.12,17.46,32.65,19.48,56.78,10.14,8.25,7.39
2,21,1071.49,875.36,1293.53,8.96,13.88,10.82,01:59.58,01:03.08,01:59.59,0.00,329.98,293.00,434.40,281.09,366.40,637.10,206.94,614.01,0.00,57.35,20.12,0,2,5,7,4,8,8,3,7,0,2,3,0.00,34.98,17.90,41.26,32.75,29.50,58.74,24.23,51.14,0.00,8.05,1.46
2,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,23,1869.66,1578.75,163.42,15.69,13.18,13.01,01:59.13,01:59.78,00:12.56,386.68,87.37,114.15,992.50,583.27,0.00,470.32,898.78,0.00,20.17,9.32,49.27,7,2,2,17,7,0,12,6,0,2,1,2,19.69,6.94,68.78,52.49,36.07,0.00,26.55,56.46,0.00,1.27,0.53,31.22
2,24,1245.29,809.45,592.11,10.41,10.43,10.72,01:59.63,01:17.58,00:55.24,0.00,376.06,233.07,73.24,400.93,103.63,1031.82,0.00,114.35,140.22,32.47,141.06,0,5,3,3,5,4,6,0,3,3,1,2,0.00,44.47,38.59,7.14,50.70,17.14,80.38,0.00,20.42,12.47,4.83,23.85
3,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,26,330.13,940.30,1441.07,13.13,14.58,12.05,00:25.14,01:04.50,01:59.60,0.00,168.24,366.46,0.00,203.73,675.80,215.75,362.13,352.50,114.38,206.21,46.31,0,2,10,0,1,11,2,2,5,2,3,3,0.00,12.45,21.44,0.00,23.18,41.13,66.32,39.75,34.10,33.68,24.61,3.33
3,27,1507.64,1756.88,1503.95,12.58,14.65,13.42,01:59.81,01:59.89,01:52.06,214.26,165.36,363.46,419.93,549.30,840.91,744.07,951.95,205.33,129.37,90.27,94.25,4,3,6,6,8,7,6,7,5,4,3,4,18.96,8.58,20.58,23.06,30.25,63.80,43.95,56.56,10.67,14.03,4.61,4.95
3,28,1303.86,901.00,1104.23,10.91,7.53,9.27,01:59.55,01:59.67,01:59.14,0.00,26.39,352.68,355.85,558.33,443.42,893.46,181.30,217.44,54.55,134.97,90.69,0,2,3,6,4,8,8,5,6,1,3,1,0.00,2.30,29.08,30.32,72.07,37.80,65.19,14.26,25.27,4.48,11.37,7.86
3,29,1314.64,1351.43,1240.01,10.99,11.30,10.35,01:59.58,01:59.58,01:59.86,244.47,491.92,475.19,119.12,582.58,281.81,763.59,158.92,206.37,187.46,118.01,276.64,3,3,4,6,7,3,7,4,3,3,2,3,21.56,30.88,33.41,8.26,40.66,21.93,52.99,12.41,18.43,17.20,16.05,26.23
3,30,2052.91,1494.03,514.55,17.14,17.79,22.42,01:59.79,01:24.00,00:22.95,530.09,489.72,222.64,289.73,398.57,75.27,534.99,227.89,72.18,698.10,377.85,144.46,10,7,5,7,7,4,10,5,3,12,6,4,24.30,31.62,40.43,15.16,22.86,14.43,25.90,13.09,14.63,34.64,32.42,30.50
3,31,1349.60,1418.67,99.01,11.38,11.85,17.60,01:58.55,01:59.75,00:05.63,100.41,92.73,78.81,1090.40,861.28,0.00,158.79,380.63,0.00,0.00,84.04,20.19,3,1,1,4,5,0,3,6,0,0,1,1,5.84,4.82,78.06,82.63,64.41,0.00,11.53,26.43,0.00,0.00,4.34,21.94
3,32,519.49,615.41,695.29,20.30,19.22,18.93,00:25.59,00:32.02,00:36.74,35.79,38.61,337.94,28.21,185.09,200.97,309.50,249.85,94.96,145.99,141.87,61.42,1,2,5,1,4,4,2,5,2,3,5,3,6.78,5.90,48.06,4.15,25.28,29.43,61.60,43.73,13.15,27.47,25.09,9.36
3,33,1546.57,1732.22,1619.84,12.92,14.44,13.52,01:59.75,01:59.95,01:59.80,563.05,641.38,553.42,527.82,579.38,275.38,281.79,184.86,365.55,173.91,326.60,425.48,7,10,6,7,9,6,4,4,6,4,5,6,33.00,38.32,28.03,36.95,31.68,14.86,18.83,11.09,22.92,11.22,18.91,34.20
3,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,35,322.15,604.44,1170.76,17.11,16.44,9.76,00:18.83,00:36.77,01:59.92,0.00,134.38,418.45,0.00,121.84,377.49,299.25,196.97,301.03,22.90,151.25,73.79,0,2,5,0,2,7,1,2,3,1,3,1,0.00,19.80,31.50,0.00,18.44,37.60,92.78,36.72,27.15,7.22,25.03,3.74
3,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
